opportunity_id,project_type,project_name,builder_name,city_name,product_name,package_id,quantity,purchase_date,sales_confirmation_date,account_manager,current_status_name,Latest_date,project_start_date
https://lookup.housing.com/opportunity/5165928,,Grace,GROUP G,Bhubaneswar,Drone Interactive,,1,1-Dec-2024,7-Nov-2024,Madhushree Mukherjee,2nd Cut Delivery,9-Dec-2024,7-Nov-2024
https://lookup.housing.com/opportunity/5165928,,Grand Mini City,GROUP G,Bhubaneswar,Drone Interactive,,1,1-Dec-2024,7-Nov-2024,Madhushree Mukherjee,2nd Cut Delivery,9-Dec-2024,7-Nov-2024
https://lookup.housing.com/opportunity/5730275,,Reliant Housing,Reliant Housing LLP,Jaipur,Drone video + voiceover,,1,24-Jan-2025,5-Feb-2025,Jatin Katara,1st Cut Delivery,21-Feb-2025,17-Feb-2025
https://lookup.housing.com/opportunity/5362868,,Gagan Properties,Gagan Properties,Pune,Drone video + voiceover,,1,4-Dec-2024,26-Dec-2024,Pallavi Sonawane,1st Cut Delivery,21-Feb-2025,28-Jan-2025
https://lookup.housing.com/opportunity/5712815,,Pratibimb,Firstrust,Gandhinagar,Drone video + voiceover,,1,22-Jan-2025,1-Feb-2025,Nakul Purohit,1st Cut Delivery,18-Feb-2025,5-Feb-2025
https://lookup.housing.com/opportunity/5724239,,Aarambh,Shree Laxmi Venture Pvt. Ltd.,Nagpur,Drone video + voiceover,,1,31-Jan-2025,17-Mar-2025,Mukesh Gurudas Biswas,Final Delivery,9-Jun-2025,
https://lookup.housing.com/opportunity/5702348,,Nakshatra,Maharshee Builders,Nagpur,Drone video + voiceover,,1,21-Jan-2025,17-Mar-2025,Mukesh Gurudas Biswas,1st Cut Delivery,17-Jun-2025,18-Mar-2025
https://lookup.housing.com/opportunity/4862349,,KBT Baner,Kohinoor Group,Pune,Area Wiki Lite,,1,4-Sep-2024,5-Sep-2024,Nikita Chetan Mehta,3rd Cut Delivery,12-Nov-2024,9-Sep-2024
https://lookup.housing.com/opportunity/4862349,,KWT Mundhwa,Kohinoor Group,Pune,Area Wiki Lite,,1,4-Sep-2024,5-Sep-2024,Nikita Chetan Mehta,2nd Cut Delivery,9-Sep-2024,9-Sep-2024
https://lookup.housing.com/opportunity/4956349,,Mahima Ecovista,Mahima Group,Jaipur,Drone Interactive,,1,23-Sep-2024,25-Sep-2024,Mohd Wasim Aktar Shekh,1st Cut Delivery,8-Nov-2024,8-Nov-2024
https://lookup.housing.com/opportunity/4956349,,Mahima Ecovista,Mahima Group,Jaipur,Area Wiki Lite,,1,23-Sep-2024,25-Sep-2024,Mohd Wasim Aktar Shekh,Partial Data Received,30-Sep-2024,30-Sep-2024
https://lookup.housing.com/opportunity/3381527,,AVA Maple,AVA Lifespaces,Mumbai,Drone Interactive,,1,30-Nov-2023,9-Oct-2024,Anjani Shukla,1st Cut Delivery,22-Oct-2024,10-Oct-2024
https://lookup.housing.com/opportunity/4954888,,Aero Villas,Aasritha Infra Projects,Hyderabad,Drone Interactive,,1,20-Sep-2024,4-Oct-2024,Madisetty Sai Charith,1st Cut Delivery,25-Nov-2024,11-Nov-2024
https://lookup.housing.com/opportunity/5163922,,Desai Empire,DESAI DEVELOPERS,Bangalore,Drone Interactive,,1,30-Oct-2024,8-Nov-2024,Deepak Kumar Panigrahy,Partial Data Received,8-Nov-2024,
https://lookup.housing.com/opportunity/5216716,,Azores Villas,ABS Shubhankar Group,Udaipur,Drone video + voiceover,,1,14-Nov-2024,14-Nov-2024,Ankit Goyal,1st Cut Delivery,29-Nov-2024,29-Nov-2024
https://lookup.housing.com/opportunity/5448375,,Uma Blossom,Greenline Vintrade Private Limited,Varanasi,Drone video + voiceover,,1,13-Dec-2024,14-Dec-2024,Shashank Verma,1st Cut Delivery,19-Dec-2024,19-Dec-2024
https://lookup.housing.com/opportunity/5367974,,Spectrum 21,Sankalp Group,Jaipur,Drone Interactive,,1,2-Dec-2024,16-Dec-2024,Mohd Wasim Aktar Shekh,2nd Cut Delivery,28-Dec-2024,27-Dec-2024
https://lookup.housing.com/opportunity/5568502,,Shetye Estates,Shetye Estates,Goa,Drone Interactive,,1,1-Jan-2025,9-Jan-2025,Srikant Singh,Partial Data Received,9-Jan-2025,
